ID_,MARITAL,AGE,HAPPY,sex
108,3,74,1,f
109,1,42,2,m
110,1,45,1,m
111,5,23,1,m
112,5,26,2,m
113,1,29,3,f
114,5,28,2,m
115,1,60,2,f
116,5,35,2,f
117,1,38,3,f
118,5,30,2,m
119,1,44,1,m
120,5,58,3,f
121,5,41,1,m
122,5,61,2,f
123,5,56,1,f
124,2,79,1,f
125,5,32,2,m
126,3,68,3,f
127,2,89,2,f
128,1,38,2,m
129,5,29,2,f
130,2,77,2,m
131,4,47,2,m
132,1,53,1,m
133,3,54,2,f
134,3,64,1,f
135,5,62,1,f
136,5,30,2,f
137,1,61,1,m
138,5,63,2,m
139,1,41,1,m
140,1,57,2,f
141,5,29,2,f
142,1,40,1,m
143,5,21,2,m
144,1,55,2,m
145,2,81,2,f
146,1,38,1,f
147,4,37,1,m
148,1,45,1,f
149,5,37,2,f
150,3,55,2,m
151,3,74,2,f
152,5,84,3,f
153,1,54,3,m
154,5,23,2,m
155,1,25,2,f
156,3,81,2,f
157,1,48,2,m
158,5,46,3,m
159,1,51,3,m
160,2,86,2,f
161,1,54,1,m
162,5,45,1,f
163,2,75,2,f
164,5,23,2,m
165,3,63,1,f
166,3,82,1,f
167,3,50,3,f
168,3,83,2,m
169,1,67,1,m
170,1,84,2,f
171,3,59,3,f
172,5,45,2,f
173,1,55,1,m
174,3,62,3,f
175,3,77,2,f
176,5,46,2,m
177,3,59,1,m
178,5,20,2,f
179,4,63,2,m
180,3,71,1,f
181,5,37,2,m
182,1,27,1,f
183,1,26,2,f
184,5,46,1,m
185,5,56,3,f
186,3,45,3,f
187,3,62,2,m
188,5,24,2,m
189,3,48,2,m
190,5,31,3,m
191,5,37,3,m
192,5,35,1,f
193,5,26,1,f
194,1,54,1,f
195,5,36,2,f
196,1,79,2,f
197,3,78,3,f
198,5,27,3,m
199,5,20,2,f
200,1,41,2,m
201,3,63,3,m
202,5,25,3,m
203,1,32,2,f
204,5,34,2,f
205,1,46,2,m
206,1,50,2,m
207,4,34,2,f
208,5,22,3,f
209,1,35,2,m
210,1,41,2,f
211,1,53,1,f
212,1,54,2,f
213,5,50,9,f
214,1,38,2,f
215,1,35,2,f
216,5,19,1,m
217,1,56,1,m
218,1,46,1,m
219,1,68,3,f
220,4,41,2,f
221,1,29,1,m
222,1,61,2,f
223,1,56,3,m
224,3,33,3,f
225,5,24,1,f
226,1,69,2,m
227,1,61,2,m
228,2,78,2,f
229,2,43,1,m
230,3,52,2,m
231,5,59,2,m
232,3,69,2,m
233,1,37,1,m
234,1,41,1,f
235,3,59,1,f
236,5,23,2,f
237,5,19,1,m
238,5,30,2,f
239,1,75,2,f
240,5,46,3,f
241,5,19,2,m
242,5,51,2,f
243,1,61,1,f
244,1,45,2,f
245,1,58,2,m
246,1,79,3,f
247,1,75,1,f
248,2,89,1,m
249,5,41,2,f
250,1,32,1,m
251,1,58,2,f
252,1,72,1,m
253,3,66,2,f
254,5,21,2,f
255,3,45,2,f
256,1,58,2,m
257,1,50,3,f
258,3,55,2,f
259,3,43,1,m
260,1,31,2,f
261,5,30,2,f
262,5,42,2,f
263,1,25,2,f
264,3,59,3,f
265,2,80,2,f
266,3,58,2,f
267,1,40,1,f
268,4,78,3,m
269,2,78,3,f
270,1,46,1,f
271,1,43,2,m
272,1,81,1,m
273,1,63,2,f
274,3,48,3,m
275,5,48,1,f
276,1,57,1,m
277,5,29,2,f
278,4,30,3,f
279,5,29,2,f
280,3,50,1,f
281,3,61,1,f
282,1,30,2,m
283,1,32,2,m
284,5,18,2,f
285,3,85,2,f
286,3,51,2,m
287,4,26,3,f
288,1,38,2,m
289,1,39,1,f
290,5,20,2,m
291,1,39,2,f
292,1,57,2,f
293,2,87,3,f
294,1,81,1,f
295,5,31,2,m
296,1,61,1,f
297,1,31,2,f
298,1,61,2,m
299,2,39,2,f
300,5,84,2,m
301,1,54,1,f
302,5,26,1,m
303,1,84,1,f
304,1,60,1,m
305,5,43,2,f
306,3,65,3,m
307,3,34,1,f
308,2,78,3,f
309,3,85,3,f
310,2,73,3,f
311,5,25,2,f
312,1,30,1,f
313,3,46,2,f
314,5,28,2,f
315,2,40,2,f
316,5,25,2,m
317,1,55,1,m
318,5,19,2,f
319,5,31,2,f
320,1,33,2,m
321,5,27,2,m
322,3,62,1,m
323,1,70,2,f
324,1,58,2,m
325,1,54,2,f
326,1,50,2,f
327,1,36,3,f
328,3,34,2,f
329,5,19,2,f
330,3,39,2,f
331,1,66,2,m
332,3,73,2,f
333,5,53,2,f
334,1,41,1,m
335,5,35,3,m
336,5,23,2,f
337,4,74,3,f
338,1,36,1,f
339,5,23,2,m
340,1,64,2,f
341,5,39,2,f
342,1,82,1,m
343,1,50,2,m
344,1,74,1,m
345,1,45,2,f
346,3,47,2,m
347,2,69,2,f
348,1,36,2,m
349,1,38,2,m
350,1,42,1,f
351,1,70,2,m
352,1,70,2,m
353,1,53,1,f
354,1,65,2,m
355,1,29,2,m
356,5,28,2,m
357,1,63,1,m
358,1,35,2,f
359,5,35,2,f
360,1,50,2,f
361,2,57,2,f
362,3,40,1,m
363,1,32,2,f
364,5,30,1,f
365,5,30,2,f
366,1,49,2,m
367,1,58,1,f
368,5,24,2,f
369,1,49,1,f
370,1,66,2,m
371,3,43,2,m
372,1,67,2,m
373,1,69,1,f
374,1,65,2,m
375,1,52,1,m
376,1,63,2,m
377,1,60,3,m
378,5,20,2,f
379,1,49,1,m
380,1,36,1,f
381,5,23,2,m
382,5,19,2,m
383,1,57,3,m
384,1,33,1,f
385,5,39,3,m
386,1,33,2,m
387,5,38,2,f
388,5,57,3,f
389,5,23,3,m
390,1,46,2,f
391,5,23,3,f
392,3,55,1,m
393,5,22,2,f
394,2,70,2,f
395,5,27,2,m
396,3,58,2,f
397,4,55,2,f
398,3,36,2,f
399,3,65,2,f
400,5,64,1,f
401,1,41,3,f
402,3,58,2,m
403,1,52,2,f
404,3,63,3,f
405,1,70,1,m
406,5,63,2,m
407,1,31,1,f
408,1,88,2,m
409,1,60,2,f
410,1,34,2,f
411,1,35,2,m
412,5,72,2,f
413,2,77,2,f
414,1,49,2,m
415,3,38,3,f
416,5,40,2,f
417,1,37,3,f
418,1,35,1,f
419,2,62,2,f
420,5,32,1,m
421,1,70,2,m
422,5,44,2,m
423,1,60,2,m
424,1,57,2,f
425,5,55,3,m
426,1,39,1,m
427,1,52,1,m
428,5,22,1,f
429,4,42,2,m
430,5,25,2,m
431,5,42,1,f
432,1,46,3,f
433,2,89,2,f
434,5,18,1,f
435,1,41,1,m
436,1,56,1,m
437,1,45,1,m
438,5,25,1,f
439,5,24,1,m
440,5,25,2,f
441,5,66,2,f
442,1,36,1,m
443,5,65,2,m
444,5,44,1,m
445,2,78,2,m
446,1,59,2,m
447,1,65,1,m
448,1,41,1,f
449,1,60,2,f
450,1,50,1,m
451,5,66,2,m
452,3,65,2,m
453,1,31,2,m
454,1,32,2,m
455,1,28,2,m
456,3,29,1,f
457,1,71,1,m
458,1,44,1,f
459,5,31,2,m
460,1,65,2,m
461,1,72,2,m
462,1,45,2,f
463,5,19,1,m
464,5,23,2,m
465,3,55,2,m
466,2,74,3,f
467,1,60,2,m
468,5,38,2,m
469,2,75,2,m
470,3,55,2,f
471,5,28,1,m
472,1,75,3,m
473,1,28,2,f
474,5,24,2,f
475,3,53,2,f
476,3,40,2,f
477,1,55,2,f
478,1,70,1,m
479,3,52,2,f
480,1,63,2,m
481,1,69,2,f
482,1,38,1,m
483,5,63,3,m
484,9,43,3,m
485,5,31,2,m
486,1,60,2,f
487,3,59,2,m
488,1,54,1,f
489,1,38,1,m
490,1,47,2,f
491,1,54,2,f
492,5,25,1,m
493,5,34,1,f
494,1,54,2,f
495,1,57,2,f
496,5,21,2,f
497,5,66,3,m
498,1,69,1,m
499,1,50,2,f
500,1,65,1,f
501,1,74,1,m
502,1,68,1,m
503,3,65,3,m
504,1,54,2,m
505,2,63,2,m
506,3,66,2,m
507,1,40,2,f
508,3,71,2,m
509,1,36,1,m
510,3,58,1,f
511,3,37,2,f
512,3,51,1,f
513,3,60,2,f
514,5,34,3,f
515,3,34,2,f
516,5,69,3,f
517,1,68,1,f
518,1,32,2,m
519,1,74,2,f
520,5,31,1,m
521,1,56,1,f
522,5,37,2,f
523,1,50,1,m
524,1,63,2,m
525,5,45,2,f
526,1,50,1,m
527,5,23,2,m
528,5,21,2,m
529,5,60,2,m
530,1,40,2,m
531,5,28,2,m
532,5,43,2,f
533,5,22,1,m
534,5,41,3,f
535,1,29,2,m
536,5,22,2,m
537,1,33,2,f
538,5,42,2,f
539,5,29,2,m
540,1,71,2,f
541,1,44,1,m
542,1,61,2,m
543,2,80,2,m
544,1,30,1,f
545,1,33,2,m
546,3,69,2,m
547,1,37,2,f
548,1,70,2,m
549,3,64,2,f
550,3,76,2,f
551,1,76,1,f
552,3,50,2,m
553,1,38,2,f
554,1,77,3,f
555,1,49,1,f
556,3,43,2,f
557,1,49,1,f
558,1,64,1,f
559,1,36,2,m
560,1,49,2,f
561,1,45,2,m
562,1,68,1,f
563,2,79,1,m
564,1,53,2,m
565,3,74,1,f
566,2,77,2,f
567,1,30,2,f
568,1,44,2,f
569,3,56,1,m
570,4,31,2,f
571,3,65,1,f
572,1,55,3,m
573,5,55,2,f
574,1,54,2,m
575,5,75,1,m
576,3,53,2,f
577,1,45,1,f
578,3,71,2,f
579,1,32,1,f
580,1,33,1,f
581,1,72,1,f
582,5,70,2,m
583,3,58,1,f
584,1,54,2,f
585,1,70,2,f
586,3,47,2,m
587,1,47,1,m
588,1,33,1,m
589,1,47,1,m
590,5,40,2,f
591,3,42,2,f
592,1,56,1,f
593,1,66,2,m
594,1,55,1,f
595,1,74,1,m
596,5,18,2,f
597,1,58,3,f
598,2,76,2,f
599,3,66,2,m
600,1,62,1,f
601,2,70,2,f
602,1,53,1,f
603,1,83,1,f
604,2,66,2,m
605,5,30,2,m
606,1,61,2,f
607,1,81,1,f
608,5,71,3,f
609,2,80,2,f
610,1,74,2,f
611,1,57,2,m
612,1,58,2,m
613,3,47,1,m
614,1,55,2,f
615,1,29,2,m
616,1,36,1,m
617,1,44,2,f
618,1,43,1,f
619,5,26,1,m
620,1,64,1,m
621,1,71,2,f
622,1,67,2,m
623,1,31,1,f
624,1,40,3,m
625,5,47,3,f
626,2,70,3,f
627,1,29,1,f
628,1,69,3,m
629,1,61,2,f
630,1,62,2,f
631,5,21,2,f
632,5,41,1,m
633,5,35,2,m
634,2,67,2,f
635,2,76,3,f
636,5,30,2,m
637,3,55,2,f
638,2,63,2,f
639,5,26,3,f
640,4,49,2,f
641,5,32,3,m
642,1,42,1,f
643,5,50,2,f
644,1,48,2,f
645,2,76,2,f
646,1,53,2,m
647,1,31,3,f
648,5,37,2,f
649,1,46,1,f
650,5,40,2,f
651,5,25,3,f
652,1,61,2,m
653,1,50,1,f
654,3,51,1,m
655,1,57,2,m
656,2,79,2,f
657,3,31,2,f
658,5,24,2,f
659,1,61,2,f
660,2,62,3,f
661,9,64,1,f
662,5,54,2,m
663,5,24,2,f
664,2,79,3,m
665,5,33,2,f
666,1,27,1,f
667,5,36,1,m
668,5,19,2,m
669,3,59,2,f
670,1,63,1,m
671,5,41,2,m
672,5,36,2,f
673,1,36,2,f
674,1,40,2,m
675,1,33,2,m
676,4,32,1,f
677,1,47,1,f
678,1,39,2,m
679,5,25,2,m
680,5,20,1,f
681,1,32,1,f
682,5,32,2,m
683,1,46,2,f
684,3,57,2,m
685,1,60,1,m
686,5,59,2,f
687,1,47,2,f
688,5,57,2,f
689,3,67,2,f
690,3,65,1,m
691,1,61,2,f
692,1,36,2,f
693,5,37,2,f
694,1,80,1,m
695,5,26,1,f
696,5,33,2,f
697,1,27,2,m
698,5,34,2,f
699,1,50,2,f
700,1,58,2,f
701,5,39,2,m
702,2,70,3,f
703,5,24,1,f
704,5,40,3,f
705,3,48,2,m
706,2,58,2,m
707,2,57,2,m
708,3,76,2,m
709,1,53,1,m
710,1,30,2,f
711,1,64,2,f
712,1,59,3,f
713,2,88,3,f
714,1,61,2,m
715,1,50,1,m
716,5,76,2,m
717,5,27,3,f
718,5,27,2,f
719,5,21,2,m
720,5,29,1,f
721,1,59,2,f
722,4,32,2,m
723,1,37,2,m
724,5,37,1,m
725,5,40,2,m
726,5,51,1,f
727,1,26,1,f
728,1,71,3,m
729,3,53,3,f
730,1,45,2,m
731,1,53,1,m
732,5,22,3,f
733,3,58,2,f
734,1,50,1,m
735,3,52,3,f
736,1,48,1,f
737,1,62,1,f
738,5,26,1,f
739,3,59,2,f
740,1,64,2,f
741,1,38,2,f
742,3,52,3,f
743,5,28,2,f
744,3,73,2,f
745,1,29,1,m
746,4,32,1,f
747,2,79,1,f
748,1,48,1,f
749,1,53,1,m
750,1,45,1,m
751,4,43,2,f
752,1,32,1,f
753,5,25,3,f
754,2,79,3,m
755,5,55,2,m
756,5,39,2,f
757,2,78,2,m
758,1,54,1,m
759,5,20,1,m
760,4,72,3,f
761,1,50,1,f
762,3,79,2,m
763,3,89,3,f
764,2,75,3,f
765,4,53,2,f
766,1,47,2,m
767,1,75,1,m
768,1,48,2,f
769,2,63,2,f
770,1,43,2,m
771,5,31,2,m
772,1,40,2,m
773,5,74,1,m
774,1,48,1,f
775,1,68,2,f
776,2,89,1,f
777,5,24,1,f
778,3,40,3,m
779,1,28,2,m
780,5,18,2,f
781,5,33,1,m
782,3,42,2,m
783,1,35,3,m
784,1,30,2,f
785,1,56,1,m
786,1,40,1,f
787,1,60,1,f
788,1,40,1,f
789,5,35,2,m
790,3,66,2,m
791,3,58,2,f
792,4,49,2,m
793,5,59,2,m
794,5,30,2,f
795,4,63,2,m
796,5,73,1,m
797,5,56,3,f
798,5,26,1,m
799,1,26,1,f
800,5,20,2,m
801,2,51,2,f
802,5,39,1,m
803,1,58,2,f
804,1,86,1,f
805,3,57,3,f
806,1,47,2,m
807,1,53,2,m
808,1,37,2,m
809,5,25,1,f
810,5,54,2,m
811,1,64,2,m
812,5,37,2,f
813,1,63,1,m
814,5,22,2,m
815,5,30,2,f
816,1,69,2,m
817,5,25,2,m
818,1,56,2,f
819,5,25,2,m
820,5,55,2,f
821,5,27,2,m
822,3,73,2,m
823,4,53,2,f
824,5,25,2,f
825,2,71,2,f
826,4,52,3,f
827,5,36,2,f
828,5,22,2,f
829,1,31,2,f
830,1,62,2,m
831,1,58,2,m
832,5,25,2,m
833,5,23,2,f
834,5,20,3,m
835,1,99,1,m
836,5,19,2,f
837,1,73,2,f
838,1,40,2,f
839,5,73,2,f
840,1,44,1,f
841,1,54,2,m
842,1,89,2,m
843,3,68,1,m
844,1,67,2,f
845,1,61,2,f
846,1,39,1,f
847,1,39,1,f
848,1,35,3,f
849,3,56,1,f
850,1,52,3,m
851,1,28,1,f
852,5,50,2,m
853,2,76,2,f
854,3,89,2,m
855,1,29,2,m
856,3,62,3,f
857,5,56,2,f
858,5,59,1,f
859,5,34,2,f
860,1,29,1,f
861,5,34,2,f
862,5,60,2,f
863,5,29,1,f
864,1,31,2,m
865,2,73,2,m
866,1,58,2,m
867,3,42,3,f
868,1,35,2,m
869,4,51,2,f
870,1,54,1,f
871,1,53,3,m
872,1,52,2,m
873,5,41,1,f
874,3,42,1,m
875,1,58,2,m
876,1,38,2,f
877,1,40,1,f
878,3,31,1,m
879,1,56,2,f
880,1,34,1,m
881,3,58,2,f
882,5,23,2,f
883,1,51,2,f
884,5,53,1,f
885,3,68,2,m
886,1,71,2,f
887,5,22,1,f
888,3,71,3,f
889,5,30,1,f
890,1,60,2,f
891,5,28,1,f
892,1,60,1,m
893,5,37,2,m
894,5,52,2,m
895,1,25,1,m
896,5,19,2,m
897,1,38,2,f
898,5,41,2,f
899,5,43,2,f
900,5,34,1,m
901,1,39,2,m
902,5,26,1,f
903,5,27,1,f
904,3,34,2,f
905,1,34,1,m
906,5,38,3,f
907,3,59,1,f
908,5,28,3,m
909,5,32,2,f
910,5,24,2,m
911,3,65,2,f
912,5,27,3,m
913,5,51,2,f
914,5,44,2,f
915,5,44,3,m
916,5,22,3,m
917,5,25,2,f
918,3,38,2,m
919,3,58,2,f
920,1,38,1,f
921,1,53,2,m
922,1,42,1,f
923,1,55,2,m
924,1,51,2,m
925,1,60,1,m
926,1,54,1,f
927,1,38,3,f
928,2,79,2,f
929,1,39,2,m
930,5,38,2,f
931,1,59,2,m
932,3,56,3,m
933,5,37,2,m
934,5,60,3,f
935,1,32,1,m
936,1,63,2,m
937,1,53,2,m
938,1,27,2,f
939,2,62,1,f
940,5,22,2,f
941,1,24,1,m
942,5,23,3,m
943,1,51,2,f
944,3,42,1,m
945,1,31,1,m
946,2,78,1,f
947,1,36,1,f
948,1,64,2,m
949,1,76,1,f
950,3,41,3,m
951,1,71,1,f
952,1,67,1,f
953,1,40,2,m
954,1,44,2,f
955,1,43,2,m
956,3,59,2,f
957,1,40,2,f
958,3,53,1,m
959,5,25,3,m
960,1,60,2,m
961,1,29,1,f
962,5,30,2,m
963,3,59,3,m
964,1,40,2,m
965,5,29,1,m
966,3,70,1,f
967,5,27,2,f
968,1,78,1,f
969,1,48,1,f
970,1,64,1,m
971,1,49,1,f
972,2,83,2,f
973,1,62,2,f
974,5,42,2,m
975,1,84,1,m
976,5,18,2,m
977,5,77,3,m
978,3,54,2,m
979,1,62,1,m
980,1,56,1,f
981,1,50,1,f
982,5,23,1,f
983,1,66,2,f
984,1,67,1,m
985,5,49,2,m
986,1,85,1,m
987,1,68,2,f
988,1,63,1,m
989,1,39,1,f
990,2,89,2,f
991,1,55,1,m
992,5,72,2,m
993,5,42,2,m
994,2,89,1,f
995,5,45,2,f
996,2,84,2,f
997,3,75,2,f
998,5,75,1,m
999,5,53,3,f
1000,5,56,3,f
1001,5,35,2,m
1002,5,23,2,f
1003,5,21,2,m
1004,5,22,1,f
1005,5,29,2,m
1006,5,58,3,m
1007,1,56,1,m
1008,1,33,2,f
1009,2,72,2,f
1010,1,66,3,f
1011,5,36,2,m
1012,1,29,2,f
1013,5,25,1,m
1014,3,53,2,m
1015,1,59,2,f
1016,5,44,2,m
1017,5,40,2,m
1018,1,51,1,f
1019,5,66,2,f
1020,5,40,1,f
1021,1,41,2,f
1022,1,50,1,f
1023,1,50,1,f
1024,2,62,2,f
1025,1,73,1,m
1026,5,41,3,m
1027,5,39,2,f
1028,1,29,1,f
1029,1,59,1,f
1030,3,55,3,m
1031,2,34,2,f
1032,1,47,2,m
1033,1,60,2,m
1034,1,67,2,f
1035,1,57,2,f
1036,1,48,1,f
1037,1,30,2,f
1038,3,60,2,m
1039,3,58,1,f
1040,2,63,1,f
1041,1,57,2,f
1042,1,66,1,f
1043,1,87,2,m
1044,1,55,2,f
1045,1,54,1,f
1046,1,63,1,m
1047,5,26,3,m
1048,1,67,2,m
1049,2,81,2,m
1050,3,73,2,m
1051,1,78,1,f
1052,1,77,2,m
1053,3,47,2,f
1054,1,62,2,m
1055,1,83,2,f
1056,1,41,2,f
1057,5,44,1,m
1058,1,54,1,f
1059,2,57,9,m
1060,5,26,2,m
1061,2,60,2,m
1062,5,30,1,m
1063,1,72,2,f
1064,1,68,1,m
1065,1,46,1,m
1066,1,59,2,m
1067,1,77,2,f
1068,3,59,3,f
1069,1,47,2,f
1070,1,51,8,f
1071,3,42,2,f
1072,2,75,1,m
1073,3,66,2,m
1074,1,25,2,f
1075,5,34,1,f
1076,3,25,2,f
1077,2,78,3,f
1078,5,21,2,m
1079,1,73,1,f
1080,1,29,3,f
1081,1,35,2,f
1082,4,31,2,m
1083,2,58,3,m
1084,1,65,2,m
1085,1,62,2,m
1086,5,21,2,m
1087,5,59,2,f
1088,5,21,2,f
1089,1,45,2,f
1090,1,52,1,f
1091,1,76,1,f
1092,5,21,2,m
1093,4,42,2,f
1094,3,58,2,f
1095,1,42,3,f
1096,1,67,2,m
1097,5,19,2,m
1098,1,65,2,m
1099,1,36,1,m
1100,1,37,3,m
1101,1,64,2,m
1102,3,33,2,f
1103,1,30,1,f
1104,1,50,2,f
1105,2,89,2,f
1106,3,66,2,f
1107,1,60,2,m
1108,1,52,1,m
1109,5,33,1,f
1110,3,45,1,m
1111,5,21,2,f
1112,1,32,2,f
1113,1,78,1,m
1114,5,41,2,m
1115,2,59,2,f
1116,1,32,2,m
1117,3,44,1,m
1118,1,27,2,f
1119,3,38,1,m
1120,5,32,2,f
1121,5,34,2,m
1122,1,64,1,m
1123,5,26,3,f
1124,3,39,1,f
1125,5,19,2,f
1126,1,47,2,m
1127,1,39,2,f
1128,5,28,2,m
1129,3,39,2,f
1130,3,55,1,f
1131,1,71,1,m
1132,1,65,1,f
1133,1,64,2,m
1134,5,33,1,f
1135,1,43,2,f
1136,5,80,2,m
1137,5,70,3,f
1138,5,43,1,f
1139,5,38,1,f
1140,5,23,2,f
1141,5,71,3,m
1142,1,31,2,f
1143,5,51,2,m
1144,1,38,1,m
1145,5,49,2,f
1146,1,50,2,f
1147,1,39,3,f
1148,2,80,1,f
1149,1,50,1,m
1150,3,47,2,f
1151,3,49,3,f
1152,5,28,2,f
1153,2,89,1,m
1154,4,34,2,f
1155,5,50,3,f
1156,4,33,2,f
1157,1,39,2,f
1158,1,56,3,m
1159,1,48,1,m
1160,1,55,1,m
1161,5,47,3,m
1162,4,52,2,m
1163,5,22,1,f
1164,2,66,1,f
1165,5,20,2,m
1166,1,76,2,m
1167,5,27,1,f
1168,1,42,2,f
1169,4,48,3,m
1170,3,53,2,f
1171,5,37,2,f
1172,2,87,2,m
1173,5,30,2,f
1174,1,76,2,m
1175,5,30,1,m
1176,3,38,2,m
1177,3,45,3,f
1178,5,25,2,m
1179,3,49,3,f
1180,1,36,1,f
1181,3,49,2,m
1182,1,57,3,f
1183,5,26,2,m
1184,5,20,2,f
1185,1,42,1,f
1186,3,35,2,m
1187,3,63,2,m
1188,1,51,3,m
1189,3,50,2,m
1190,5,51,2,f
1191,3,67,2,f
1192,5,29,2,m
1193,1,30,1,m
1194,5,27,2,m
1195,5,66,2,m
1196,5,19,2,f
1197,1,67,2,f
1198,1,55,2,f
1199,1,31,2,f
1200,5,39,1,f
1201,5,31,2,f
1202,5,45,1,m
1203,5,51,2,m
1204,3,72,3,f
1205,1,41,2,f
1206,1,52,2,m
1207,3,52,2,f
1208,1,43,1,f
1209,5,25,1,f
1210,1,39,2,f
1211,5,25,2,f
1212,5,29,1,m
1213,2,73,2,f
1214,1,22,1,f
1215,5,60,2,m
1216,5,26,1,f
1217,5,26,1,m
1218,3,56,1,f
1219,1,43,2,f
1220,3,56,2,f
1221,2,70,3,f
1222,3,67,3,m
1223,3,33,1,f
1224,1,36,2,f
1225,3,43,1,m
1226,5,32,2,m
1227,3,36,1,m
1228,2,63,1,m
1229,1,49,2,f
1230,5,22,3,m
1231,1,64,2,f
1232,5,56,3,f
1233,1,53,2,m
1234,1,43,1,f
1235,3,61,3,f
1236,3,50,2,m
1237,1,44,1,m
1238,5,21,2,f
1239,1,53,1,m
1240,2,76,1,f
1241,1,62,2,f
1242,3,60,2,m
1243,1,29,2,m
1244,4,62,2,m
1245,3,43,3,f
1246,3,68,2,m
1247,1,50,2,f
1248,1,35,2,f
1249,5,45,3,m
1250,5,57,2,m
1251,5,26,2,m
1252,1,64,1,f
1253,1,62,2,f
1254,1,55,2,m
1255,3,50,2,m
1256,3,50,3,f
1257,1,73,1,m
1258,4,61,3,m
1259,5,21,2,f
1260,1,76,1,m
1261,1,79,1,f
1262,5,32,2,f
1263,1,53,2,f
1264,3,53,2,f
1265,3,54,2,f
1266,2,62,2,f
1267,3,99,3,m
1268,5,51,1,m
1269,1,32,2,f
1270,5,22,2,f
1271,1,47,1,m
1272,1,67,2,m
1273,5,20,2,f
1274,3,45,2,m
1275,3,37,1,m
1276,5,57,1,m
1277,5,25,2,m
1278,5,29,3,f
1279,4,44,3,f
1280,5,21,2,f
1281,1,49,3,m
1282,4,51,1,f
1283,2,66,2,f
1284,4,37,1,f
1285,4,46,3,m
1286,3,50,3,f
1287,1,40,2,f
1288,4,26,2,f
1289,1,83,2,f
1290,1,78,1,m
1291,1,50,1,m
1292,1,31,2,f
1293,3,63,2,m
1294,1,75,1,m
1295,5,34,3,f
1296,1,73,1,f
1297,1,52,2,m
1298,3,79,1,m
1299,1,55,2,f
1300,1,24,2,f
1301,1,71,3,m
1302,1,43,2,m
1303,5,53,1,m
1304,1,81,2,m
1305,3,89,2,f
1306,1,34,2,f
1307,5,31,2,f
1308,5,20,2,m
1309,1,36,2,f
1310,1,33,2,f
1311,5,29,1,m
1312,5,47,1,f
1313,5,26,1,m
1314,1,50,2,m
1315,1,47,1,f
1316,1,47,1,m
1317,5,35,1,f
1318,1,58,1,f
1319,5,51,2,f
1320,9,99,2,m
1321,1,62,2,m
1322,1,61,2,f
1323,1,40,1,m
1324,3,61,2,f
1325,1,76,2,m
1326,3,63,3,m
1327,2,62,2,f
1328,1,47,1,f
1329,1,32,1,m
1330,1,60,1,f
1331,5,23,1,m
1332,1,36,2,m
1333,5,22,2,m
1334,5,20,2,m
1335,1,23,2,f
1336,3,41,1,m
1337,5,29,2,m
1338,5,32,2,f
1339,5,37,2,f
1340,1,54,2,m
1341,1,29,2,m
1342,4,43,1,f
1343,2,76,2,f
1344,1,41,2,f
1345,1,53,1,f
1346,1,31,2,m
1347,1,35,2,f
1348,1,36,1,m
1349,1,42,1,f
1350,1,60,2,f
1351,1,78,3,m
1352,1,72,1,f
1353,1,41,1,f
1354,1,49,2,m
1355,5,26,3,f
1356,3,61,2,f
1357,1,33,1,f
1358,3,89,2,f
1359,1,34,2,f
