ID_,MARITAL,AGE,HAPPY,sex
1,3,53,1,m
2,1,26,1,f
3,3,59,3,m
4,1,56,1,f
5,1,74,1,f
6,1,56,2,f
7,1,63,2,m
8,1,34,1,m
9,5,37,3,f
10,1,30,1,f
11,1,43,2,f
12,5,56,3,m
13,3,69,2,m
14,1,40,2,f
15,5,25,2,f
16,1,56,2,m
17,3,51,2,f
18,5,46,2,m
19,1,51,2,m
20,3,39,1,f
21,3,30,1,f
22,5,36,1,f
23,4,42,2,f
24,5,38,2,m
25,5,38,2,f
26,5,28,3,f
27,4,35,2,m
28,1,57,2,m
29,1,50,3,m
30,3,54,3,m
31,1,99,2,f
32,3,61,2,f
33,5,54,2,f
34,1,47,3,m
35,1,53,3,m
36,1,37,1,f
37,5,38,1,f
38,3,31,1,m
39,2,69,2,f
40,1,35,2,m
41,1,61,1,f
42,1,80,2,m
43,5,59,3,m
44,5,26,2,m
45,4,50,2,f
46,5,43,2,f
47,5,30,2,m
48,1,59,2,m
49,1,32,2,f
50,1,32,1,m
51,1,52,3,f
52,1,42,2,m
53,1,29,2,m
54,2,81,2,f
55,1,51,2,m
56,5,24,1,f
57,2,63,3,f
58,5,44,2,f
59,5,56,1,f
60,1,43,1,f
61,5,51,2,m
62,5,32,2,f
63,1,47,1,f
64,5,47,2,f
65,1,34,2,m
66,1,69,1,m
67,1,65,1,f
68,3,57,2,m
69,5,24,2,m
70,5,32,3,m
71,3,51,2,m
72,1,66,2,f
73,1,51,2,f
74,1,27,1,m
75,1,39,2,f
76,1,41,3,f
77,1,54,1,m
78,3,58,2,f
79,1,43,3,m
80,5,55,3,f
81,1,51,2,m
82,5,40,2,f
83,4,35,2,f
84,1,43,3,m
85,5,36,2,f
86,5,30,2,f
87,5,56,1,m
88,1,41,1,m
89,5,25,1,m
90,5,48,1,f
91,5,45,2,m
92,1,72,2,f
93,1,27,1,f
94,5,24,1,f
95,3,40,3,f
96,5,26,2,f
97,4,28,3,f
98,5,37,3,f
99,9,99,3,f
100,2,62,1,m
101,5,43,2,f
102,5,32,2,m
103,2,65,2,f
104,1,32,2,f
105,1,51,2,m
106,1,41,1,m
107,2,81,2,m
